Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.001314504,0,1,0,1
0.001320282,0,0,0,1
0.001320284,0,0,0,0
0.001320382,1,0,1,0
0.001326162,0,0,0,0
0.001326264,0,1,0,1
0.001332044,0,0,0,0
0.001332142,0,0,1,0
0.001332144,1,0,1,0
0.001337922,0,0,0,0
0.001338024,0,1,0,1
0.001343804,0,0,0,0
0.001343902,0,0,1,0
0.001343904,1,0,1,0
0.001349682,1,0,0,0
0.001349684,0,0,0,0
0.001349784,0,1,0,1
0.001355564,0,0,0,0
0.001355664,1,0,1,0
0.001361442,1,0,0,0
0.001361444,0,0,0,0
0.001361544,0,1,0,1
0.001367324,0,0,0,0
0.001367424,1,0,1,0
0.001373202,1,0,0,0
0.001373204,0,0,0,0
0.001373304,0,1,0,1
0.001379084,0,0,0,0
0.001379184,1,0,1,0
0.001384964,0,0,0,0
0.001385064,0,1,0,0
0.001385066,0,1,0,1
0.001390844,0,0,0,0
0.001390944,1,0,1,0
0.001396724,0,0,0,0
0.001396824,0,1,0,0
0.001396826,0,1,0,1
0.001402604,0,0,0,1
0.001402606,0,0,0,0
0.001402704,1,0,1,0
0.001408484,0,0,0,0
0.001408586,0,1,0,1
0.001414364,0,0,0,1
0.001414366,0,0,0,0
0.001414464,1,0,1,0
0.001420244,0,0,0,0
0.001420346,0,1,0,1
0.001426126,0,0,0,0
0.001426224,0,0,1,0
0.001426226,1,0,1,0
0.001432004,1,0,0,0
0.001432006,0,0,0,0
0.001432106,0,1,0,1
0.001437886,0,0,0,0
0.001437986,1,0,1,0
0.001443766,0,0,0,0
0.001443866,0,1,0,0
0.001443868,0,1,0,1
0.001449646,0,0,0,0
0.001449746,1,0,1,0
0.001455526,0,0,0,0
0.001455626,0,1,0,0
0.001455628,0,1,0,1
0.001461406,0,0,0,0
0.001461506,1,0,1,0
0.001467286,0,0,0,0
0.001467386,0,1,0,0
0.001467388,0,1,0,1
0.001473166,0,0,0,0
0.001473266,1,0,1,0
0.001479046,0,0,0,0
0.001479148,0,1,0,1
0.001484926,0,0,0,1
0.001484928,0,0,0,0
0.001485026,1,0,1,0
0.001490806,0,0,0,0
0.001490908,0,1,0,1
0.001496686,0,0,0,1
0.001496688,0,0,0,0
0.001496786,1,0,1,0
0.001502566,1,0,0,0
0.001502568,0,0,0,0
0.001502668,0,1,0,1
0.001508448,0,0,0,0
0.001508548,1,0,1,0
0.001514326,1,0,0,0
0.001514328,0,0,0,0
0.001514428,0,1,0,1
0.001520208,0,0,0,0
0.001520308,1,0,1,0
0.001526086,1,0,0,0
0.001526088,0,0,0,0
0.001526188,0,1,0,1
0.001531968,0,0,0,0
0.001532068,1,0,1,0
0.001537846,1,0,0,0
0.001537848,0,0,0,0
0.001537948,0,1,0,1
0.001543728,0,0,0,0
0.001543828,1,0,1,0
0.001549608,0,0,0,0
0.001549708,0,1,0,0
0.001549710,0,1,0,1
0.001555488,0,0,0,1
0.001555490,0,0,0,0
0.001555588,1,0,1,0
